2025-09-01 20:43:10,908 | __main__ | INFO | init_app:100 | Application configured for development environment
2025-09-02 02:52:42,626 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:52:42] "[33mGET /static/css/style.css HTTP/1.1[0m" 404 -
2025-09-02 02:52:42,629 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:52:42] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-02 02:52:55,260 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads\20250902_025255_luciano.jpg
2025-09-02 02:52:55,282 | __main__ | WARNING | extract_coordinates:372 | All extraction methods failed
2025-09-02 02:52:55,282 | __main__ | WARNING | index:467 | No GPS data in luciano.jpg
2025-09-02 02:52:55,285 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:52:55] "POST / HTTP/1.1" 200 -
2025-09-02 02:52:55,333 | __main__ | WARNING | not_found_error:386 | 404 error: http://127.0.0.1:5000/static/css/style.css
2025-09-02 02:52:55,337 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:52:55] "[33mGET /static/css/style.css HTTP/1.1[0m" 404 -
2025-09-02 02:52:55,338 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:52:55] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-02 02:53:19,661 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads\20250902_025319_geoprojeto.jpg
2025-09-02 02:53:19,690 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 35.747145299640664, -5.823976424180057
2025-09-02 02:53:19,692 | __main__ | INFO | index:457 | ✓ Success for geoprojeto.jpg: 35.747145299640664, -5.823976424180057
2025-09-02 02:53:19,699 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:53:19] "POST / HTTP/1.1" 200 -
2025-09-02 02:53:19,749 | __main__ | WARNING | not_found_error:386 | 404 error: http://127.0.0.1:5000/static/css/style.css
2025-09-02 02:53:19,752 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:53:19] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-02 02:53:19,753 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 02:53:19] "[33mGET /static/css/style.css HTTP/1.1[0m" 404 -
2025-09-02 03:01:50,628 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads\20250902_030150_geoprojeto.jpg
2025-09-02 03:01:50,661 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 35.747145299640664, -5.823976424180057
2025-09-02 03:01:50,663 | __main__ | INFO | index:457 | ✓ Success for geoprojeto.jpg: 35.747145299640664, -5.823976424180057
2025-09-02 03:01:50,835 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:01:50] "POST / HTTP/1.1" 200 -
2025-09-02 03:01:50,890 | __main__ | WARNING | not_found_error:386 | 404 error: http://127.0.0.1:5000/static/css/style.css
2025-09-02 03:01:50,894 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:01:50] "[33mGET /static/css/style.css HTTP/1.1[0m" 404 -
2025-09-02 03:01:50,958 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:01:50] "GET /static/js/script.js HTTP/1.1" 200 -
2025-09-02 03:02:02,160 | __main__ | WARNING | not_found_error:386 | 404 error: http://127.0.0.1:5000/static/css/style.css
2025-09-02 03:02:02,166 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:02:02] "[33mGET /static/css/style.css HTTP/1.1[0m" 404 -
2025-09-02 03:02:02,192 | __main__ | WARNING | not_found_error:386 | 404 error: http://127.0.0.1:5000/.well-known/appspecific/com.chrome.devtools.json
2025-09-02 03:02:02,195 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:02:02] "[33mGET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1[0m" 404 -
2025-09-02 03:12:43,793 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads\20250902_031243_geoprojeto.jpg
2025-09-02 03:12:43,827 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 35.747145299640664, -5.823976424180057
2025-09-02 03:12:43,829 | __main__ | INFO | index:457 | ✓ Success for geoprojeto.jpg: 35.747145299640664, -5.823976424180057
2025-09-02 03:12:44,023 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:12:44] "POST / HTTP/1.1" 200 -
2025-09-02 03:12:44,084 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:12:44] "GET /static/css/style.css HTTP/1.1" 200 -
2025-09-02 03:12:44,086 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:12:44] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-02 03:13:54,787 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads\20250902_031354_geoprojeto.jpg
2025-09-02 03:13:54,823 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 35.747145299640664, -5.823976424180057
2025-09-02 03:13:54,827 | __main__ | INFO | index:457 | ✓ Success for geoprojeto.jpg: 35.747145299640664, -5.823976424180057
2025-09-02 03:13:54,837 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:13:54] "POST / HTTP/1.1" 200 -
2025-09-02 03:13:54,903 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:13:54] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-02 03:13:54,911 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:13:54] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-02 03:29:40,487 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads\20250902_032940_geoprojeto.jpg
2025-09-02 03:29:40,532 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 35.747145299640664, -5.823976424180057
2025-09-02 03:29:40,534 | __main__ | INFO | index:457 | ✓ Success for geoprojeto.jpg: 35.747145299640664, -5.823976424180057
2025-09-02 03:29:40,549 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:29:40] "POST / HTTP/1.1" 200 -
2025-09-02 03:29:40,616 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:29:40] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-02 03:29:40,654 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:29:40] "GET /static/css/style.css HTTP/1.1" 200 -
2025-09-02 03:30:16,717 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\geophoto(Claude)\uploads\20250902_033016_geoprojeto.jpg
2025-09-02 03:30:16,752 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 35.747145299640664, -5.823976424180057
2025-09-02 03:30:16,753 | __main__ | INFO | index:457 | ✓ Success for geoprojeto.jpg: 35.747145299640664, -5.823976424180057
2025-09-02 03:30:16,761 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:30:16] "POST / HTTP/1.1" 200 -
2025-09-02 03:30:16,814 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:30:16] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-02 03:30:16,822 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [02/Sep/2025 03:30:16] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-04 04:45:29,530 | __main__ | INFO | init_app:100 | Application configured for development environment
2025-09-04 04:45:29,538 | __main__ | INFO | <module>:517 | ============================================================
2025-09-04 04:45:29,539 | __main__ | INFO | <module>:518 | GeoPhoto Application Starting
2025-09-04 04:45:29,539 | __main__ | INFO | <module>:519 | Environment: development
2025-09-04 04:45:29,540 | __main__ | INFO | <module>:520 | Debug Mode: False
2025-09-04 04:45:29,541 | __main__ | INFO | <module>:521 | Upload Folder: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\Progetto-Geo-App-Photo-main\uploads
2025-09-04 04:45:29,541 | __main__ | INFO | <module>:522 | ============================================================
2025-09-04 04:45:29,892 | werkzeug | INFO | _log:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-09-04 04:45:29,894 | werkzeug | INFO | _log:97 | [33mPress CTRL+C to quit[0m
2025-09-04 04:45:29,924 | werkzeug | INFO | _log:97 |  * Restarting with stat
2025-09-04 04:45:30,928 | __main__ | INFO | init_app:100 | Application configured for development environment
2025-09-04 04:45:30,932 | __main__ | INFO | <module>:517 | ============================================================
2025-09-04 04:45:30,933 | __main__ | INFO | <module>:518 | GeoPhoto Application Starting
2025-09-04 04:45:30,933 | __main__ | INFO | <module>:519 | Environment: development
2025-09-04 04:45:30,935 | __main__ | INFO | <module>:520 | Debug Mode: False
2025-09-04 04:45:30,935 | __main__ | INFO | <module>:521 | Upload Folder: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\Progetto-Geo-App-Photo-main\uploads
2025-09-04 04:45:30,936 | __main__ | INFO | <module>:522 | ============================================================
2025-09-04 04:45:31,008 | werkzeug | WARNING | _log:97 |  * Debugger is active!
2025-09-04 04:45:31,027 | werkzeug | INFO | _log:97 |  * Debugger PIN: 692-669-474
2025-09-04 04:45:48,667 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:45:48] "GET / HTTP/1.1" 200 -
2025-09-04 04:45:49,252 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:45:49] "GET /static/css/style.css HTTP/1.1" 200 -
2025-09-04 04:45:49,280 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:45:49] "GET /static/js/script.js HTTP/1.1" 200 -
2025-09-04 04:47:04,637 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\Progetto-Geo-App-Photo-main\uploads\20250904_044704_geoprojeto.jpg
2025-09-04 04:47:05,572 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 35.747145299640664, -5.823976424180057
2025-09-04 04:47:05,574 | __main__ | INFO | index:457 | ✓ Success for geoprojeto.jpg: 35.747145299640664, -5.823976424180057
2025-09-04 04:47:05,584 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:47:05] "POST / HTTP/1.1" 200 -
2025-09-04 04:47:05,639 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:47:05] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-04 04:47:05,648 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:47:05] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-04 04:48:10,124 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\Progetto-Geo-App-Photo-main\uploads\20250904_044810_geoprojeto.jpg
2025-09-04 04:48:10,161 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 35.747145299640664, -5.823976424180057
2025-09-04 04:48:10,162 | __main__ | INFO | index:457 | ✓ Success for geoprojeto.jpg: 35.747145299640664, -5.823976424180057
2025-09-04 04:48:10,173 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:48:10] "POST / HTTP/1.1" 200 -
2025-09-04 04:48:10,219 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:48:10] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-04 04:48:10,226 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:48:10] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-04 04:48:40,841 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:48:40] "GET / HTTP/1.1" 200 -
2025-09-04 04:48:40,944 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:48:40] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-04 04:48:40,946 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:48:40] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-04 04:49:56,817 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\Progetto-Geo-App-Photo-main\uploads\20250904_044956_geoprojeto.jpg
2025-09-04 04:49:56,859 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 35.747145299640664, -5.823976424180057
2025-09-04 04:49:56,863 | __main__ | INFO | index:457 | ✓ Success for geoprojeto.jpg: 35.747145299640664, -5.823976424180057
2025-09-04 04:49:56,878 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:49:56] "POST / HTTP/1.1" 200 -
2025-09-04 04:49:56,955 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:49:56] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-04 04:49:56,970 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:49:56] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-04 04:55:25,189 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:55:25] "GET / HTTP/1.1" 200 -
2025-09-04 04:55:25,228 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:55:25] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-04 04:55:25,228 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:55:25] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-04 04:56:25,355 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\Progetto-Geo-App-Photo-main\uploads\20250904_045625_geoprojeto_1.jpg
2025-09-04 04:56:25,402 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 43.10538719622779, 12.375374436415292
2025-09-04 04:56:25,404 | __main__ | INFO | index:457 | ✓ Success for geoprojeto_1.jpg: 43.10538719622779, 12.375374436415292
2025-09-04 04:56:25,420 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:56:25] "POST / HTTP/1.1" 200 -
2025-09-04 04:56:25,489 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:56:25] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-04 04:56:25,491 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:56:25] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-04 04:58:50,834 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:58:50] "GET / HTTP/1.1" 200 -
2025-09-04 04:58:50,890 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:58:50] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-04 04:58:50,892 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:58:50] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-04 04:59:39,018 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\Progetto-Geo-App-Photo-main\uploads\20250904_045938_geoprojeto_1.jpg
2025-09-04 04:59:39,054 | __main__ | INFO | extract_gps_with_exifread:339 | ExifRead extracted: 43.10538719622779, 12.375374436415292
2025-09-04 04:59:39,055 | __main__ | INFO | index:457 | ✓ Success for geoprojeto_1.jpg: 43.10538719622779, 12.375374436415292
2025-09-04 04:59:39,070 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:59:39] "POST / HTTP/1.1" 200 -
2025-09-04 04:59:39,137 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:59:39] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-04 04:59:39,141 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 04:59:39] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-04 05:10:12,418 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 05:10:12] "GET / HTTP/1.1" 200 -
2025-09-04 05:10:12,553 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 05:10:12] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-04 05:10:12,556 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 05:10:12] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-04 05:11:16,611 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\Progetto-Geo-App-Photo-main\uploads\20250904_051116_5893079736299670418.jpg
2025-09-04 05:11:16,663 | __main__ | WARNING | extract_coordinates:372 | All extraction methods failed
2025-09-04 05:11:16,665 | __main__ | WARNING | index:467 | No GPS data in 5893079736299670418.jpg
2025-09-04 05:11:16,673 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 05:11:16] "POST / HTTP/1.1" 200 -
2025-09-04 05:11:16,748 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 05:11:16] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-09-04 05:11:16,749 | werkzeug | INFO | _log:97 | 127.0.0.1 - - [04/Sep/2025 05:11:16] "[36mGET /static/js/script.js HTTP/1.1[0m" 304 -
2025-09-04 05:13:55,193 | __main__ | INFO | index:448 | File saved: C:\Users\YahyaAdib\OneDrive - I.T.S. Umbria Made in Italy\Desktop\Progetto-Geo-App-Photo-main\uploads\20250904_051355_5893079736299670418.jpg
2025-09-04 05:13:55,229 | __main__ | WARNING | extract_coordinates:372 | All extraction methods failed
2025-09-04 05:13:55,230 | __main__ | WARNING | index:467 | No GPS data in 5893079736299670418.jpg
